datetime_utc,R1
2025-10-21 17:00:00+00:00,0.556686381611828152
2025-10-21 18:00:00+00:00,0.563832305160729352
2025-10-21 19:00:00+00:00,0.564363812822714972
2025-10-21 20:00:00+00:00,0.564675909172020041
2025-10-21 21:00:00+00:00,0.572394595153712937
2025-10-21 22:00:00+00:00,0.574036601332197916
2025-10-21 23:00:00+00:00,0.580527880621681369
2025-10-22 00:00:00+00:00,0.583981211380837473
2025-10-22 01:00:00+00:00,0.588853293972316560
2025-10-22 02:00:00+00:00,0.586163999784512058
2025-10-22 03:00:00+00:00,0.585652171702351731
2025-10-22 04:00:00+00:00,0.586501041662870204
2025-10-22 05:00:00+00:00,0.583583120126607846
2025-10-22 06:00:00+00:00,0.586155610569918606
2025-10-22 07:00:00+00:00,0.586249778232800001
2025-10-22 08:00:00+00:00,0.585947273638398713
2025-10-22 09:00:00+00:00,0.586940723788597629
2025-10-22 10:00:00+00:00,0.589415362505994578
2025-10-22 11:00:00+00:00,0.590692131327176795
2025-10-22 12:00:00+00:00,0.591160857992915179
2025-10-22 13:00:00+00:00,0.588254388650849114
2025-10-22 14:00:00+00:00,0.586940414753138406
2025-10-22 15:00:00+00:00,0.592763686331785999
2025-10-22 16:00:00+00:00,0.589299614657401993
2025-10-22 17:00:00+00:00,0.588262111246186326
2025-10-22 18:00:00+00:00,0.595329548861268876
2025-10-22 19:00:00+00:00,0.595341437209537694
2025-10-22 20:00:00+00:00,0.594544421558701797
2025-10-22 21:00:00+00:00,0.598512494336810863
2025-10-22 22:00:00+00:00,0.603266504954184990
2025-10-22 23:00:00+00:00,0.603287044526190530
2025-10-23 00:00:00+00:00,0.594651746581378426
2025-10-23 01:00:00+00:00,0.592530347377456357
2025-10-23 02:00:00+00:00,0.592318788341473779
2025-10-23 03:00:00+00:00,0.592144895891692058
2025-10-23 04:00:00+00:00,0.591388983614888009
2025-10-23 05:00:00+00:00,0.589809156819565805
2025-10-23 06:00:00+00:00,0.588231594908517286
2025-10-23 07:00:00+00:00,0.582614600638784341
2025-10-23 08:00:00+00:00,0.583201043679945408
2025-10-23 09:00:00+00:00,0.582315055154236760
2025-10-23 10:00:00+00:00,0.582701134595971948
2025-10-23 11:00:00+00:00,0.583733577455704422
2025-10-23 12:00:00+00:00,0.585738009242190438
2025-10-23 13:00:00+00:00,0.588340162849728232
2025-10-23 14:00:00+00:00,0.587628477589921427
2025-10-23 15:00:00+00:00,0.589480988706756914
2025-10-23 16:00:00+00:00,0.583061720694109664
2025-10-23 17:00:00+00:00,0.576856554463783255
2025-10-23 18:00:00+00:00,0.578145021702197059
2025-10-23 19:00:00+00:00,0.584812657290161964
2025-10-23 20:00:00+00:00,0.586439301577748373
2025-10-23 21:00:00+00:00,0.588042475716089474
2025-10-23 22:00:00+00:00,0.590167854806768033
2025-10-23 23:00:00+00:00,0.587688530032217327
2025-10-24 00:00:00+00:00,0.587137116162427142
2025-10-24 01:00:00+00:00,0.585137601610086766
2025-10-24 02:00:00+00:00,0.583700360131493845
2025-10-24 03:00:00+00:00,0.582695575711103753
2025-10-24 04:00:00+00:00,0.582440980066307845
2025-10-24 05:00:00+00:00,0.569784313975100098
2025-10-24 06:00:00+00:00,0.569540188520559876
2025-10-24 07:00:00+00:00,0.568989801898098446
2025-10-24 08:00:00+00:00,0.574251106517945198
2025-10-24 09:00:00+00:00,0.573089962483605664
2025-10-24 10:00:00+00:00,0.572475234068029581
2025-10-24 11:00:00+00:00,0.572219344598942414
2025-10-24 12:00:00+00:00,0.573711435893037525
2025-10-24 13:00:00+00:00,0.571071991174712412
2025-10-24 14:00:00+00:00,0.575192865521066188
2025-10-24 15:00:00+00:00,0.580860342782951622
2025-10-24 16:00:00+00:00,0.582189336158499993
2025-10-24 17:00:00+00:00,0.583576056450552216
2025-10-24 18:00:00+00:00,0.581856637576303015
2025-10-24 19:00:00+00:00,0.579159511469230504
2025-10-24 20:00:00+00:00,0.576132496259299631
2025-10-24 21:00:00+00:00,0.575389049519353324
2025-10-24 22:00:00+00:00,0.574722980185962684
2025-10-24 23:00:00+00:00,0.575911786003361015
2025-10-25 00:00:00+00:00,0.575888393905648388
2025-10-25 01:00:00+00:00,0.578225359364456737
2025-10-25 02:00:00+00:00,0.575804713121359280
2025-10-25 03:00:00+00:00,0.575463053960081683
2025-10-25 04:00:00+00:00,0.577030893805699274
2025-10-25 05:00:00+00:00,0.577048445108479191
2025-10-25 06:00:00+00:00,0.576427895636777321
2025-10-25 07:00:00+00:00,0.576192546003108319
2025-10-25 08:00:00+00:00,0.576310815410485677
2025-10-25 09:00:00+00:00,0.573382245837405380
2025-10-25 10:00:00+00:00,0.574479935773702044
2025-10-25 11:00:00+00:00,0.574545220768684084
2025-10-25 12:00:00+00:00,0.574578515125005018
2025-10-25 13:00:00+00:00,0.573693673089795908
2025-10-25 14:00:00+00:00,0.574488007169550063
2025-10-25 15:00:00+00:00,0.575432150656731589
2025-10-25 16:00:00+00:00,0.576118205130367156
2025-10-25 17:00:00+00:00,0.575976579760687279
2025-10-25 18:00:00+00:00,0.575786880961119851
2025-10-25 19:00:00+00:00,0.572659863816145309
2025-10-25 20:00:00+00:00,0.572702795596630954
2025-10-25 21:00:00+00:00,0.574006122848860989
2025-10-25 22:00:00+00:00,0.573685501460166170
2025-10-25 23:00:00+00:00,0.571477427576074559
2025-10-26 00:00:00+00:00,0.572905181226363469
2025-10-26 01:00:00+00:00,0.573266524463018068
2025-10-26 02:00:00+00:00,0.574157895321754985
2025-10-26 03:00:00+00:00,0.576305008456172163
